UCP,VARIABLE,FECHA,Clasificador interno,TIPO DIA,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,TOTAL
MC-Antioquia,Demanda_Real,2024-10-10,Sin pandemia o efectos parecidos ,FESTIVO,996.49238,953.25352,932.69181,927.58669,978.34625,1054.09709,1139.46853,1245.5474,1311.33886,1347.33575,1397.05907,1441.73248,1458.11766,1438.6395,1443.36164,1447.98999,1423.6856,1386.54412,1457.54015,1427.51442,1354.17845,1242.13606,1128.88913,1027.81631,29961.36286
MC-Antioquia,Demanda_Real,2024-10-11,Sin pandemia o efectos parecidos ,FESTIVO,959.08337,921.96161,903.85193,911.47288,960.89986,1035.93757,1140.96232,1249.32759,1330.88815,1379.5279,1445.01,1488.68244,1509.41896,1490.89763,1494.75396,1491.24972,1465.29667,1428.11509,1493.66971,1471.71868,1400.8971,1297.54179,1200.34246,1106.07967,30577.58705999999
MC-Antioquia,Demanda_Real,2024-10-12,Sin pandemia o efectos parecidos ,FESTIVO,1019.79933,972.92674,947.96781,938.51895,968.79223,1012.24146,1085.39125,1175.75434,1257.57335,1314.40701,1366.92675,1400.38522,1392.89894,1358.1028,1333.36985,1323.59698,1310.35283,1292.34822,1375.37748,1345.10296,1276.50669,1188.79954,1100.99055,1022.63379,28780.76507
