,Fecha,Día de la Semana,Predicción (MWh),Real (MWh),Error (MWh),Error (%),Festivo,Fin de Semana
0,2025-10-03,Viernes,30560.08,31583.61,-1023.53,-3.24,,
1,2025-10-04,Sábado,30993.34,29206.79,1786.55,6.12,,🏖️
2,2025-10-05,Domingo,31634.09,26047.84,5586.25,21.45,,🏖️
3,2025-10-06,Lunes,31549.49,30653.13,896.36,2.92,,
4,2025-10-07,Martes,31802.46,31720.54,81.92,0.26,,
5,2025-10-08,Miércoles,31720.76,31646.17,74.59,0.24,,
6,2025-10-09,Jueves,31830.89,31625.03,205.86,0.65,,
7,2025-10-10,Viernes,32022.21,30672.06,1350.15,4.4,,
8,2025-10-11,Sábado,31987.61,28567.89,3419.72,11.97,,🏖️
9,2025-10-12,Domingo,31770.01,24500.6,7269.41,29.67,,🏖️
10,2025-10-13,Lunes,31354.54,25516.07,5838.47,22.88,🎉,
11,2025-10-14,Martes,30857.23,30615.6,241.63,0.79,,
12,2025-10-15,Miércoles,30299.23,31446.01,-1146.78,-3.65,,
13,2025-10-16,Jueves,29330.2,30897.07,-1566.87,-5.07,,
14,2025-10-17,Viernes,27719.97,31251.6,-3531.63,-11.3,,
15,2025-10-18,Sábado,26682.42,29556.88,-2874.46,-9.73,,🏖️
16,2025-10-19,Domingo,25943.72,26304.72,-361,-1.37,,🏖️
17,2025-10-20,Lunes,25998.95,30982.98,-4984.03,-16.09,,
18,2025-10-21,Martes,25973.61,31540.06,-5566.45,-17.65,,
19,2025-10-22,Miércoles,25808.56,31319.92,-5511.36,-17.6,,
20,2025-10-23,Jueves,25856.53,31177.6,-5321.07,-17.07,,
21,2025-10-24,Viernes,26656.49,31152.72,-4496.23,-14.43,,
22,2025-10-25,Sábado,28643.63,29088.26,-444.63,-1.53,,🏖️
23,2025-10-26,Domingo,30232.47,26069.21,4163.26,15.97,,🏖️
24,2025-10-27,Lunes,31522.69,30070.07,1452.62,4.83,,
25,2025-10-28,Martes,31890.02,31168.28,721.74,2.32,,
26,2025-10-29,Miércoles,31956.1,31775.34,180.76,0.57,,
27,2025-10-30,Jueves,31990.86,31967.55,23.31,0.07,,
28,2025-10-31,Viernes,32026.67,31071.59,955.08,3.07,,
29,2025-11-01,Sábado,31948.47,29546.09,2402.38,8.13,,🏖️
