,Fecha,Día de la Semana,Predicción (MWh),Real (MWh),Error (MWh),Error (%),Festivo,Fin de Semana
0,2025-10-03,Viernes,30509.04,31583.61,-1074.57,-3.4,,
1,2025-10-04,Sábado,30864.05,29206.79,1657.26,5.67,,🏖️
2,2025-10-05,Domingo,30260.96,26047.84,4213.12,16.17,,🏖️
3,2025-10-06,Lunes,27927.12,30653.13,-2726.01,-8.89,,
4,2025-10-07,Martes,26457.99,31720.54,-5262.55,-16.59,,
5,2025-10-08,Miércoles,26271.21,31646.17,-5374.96,-16.98,,
6,2025-10-09,Jueves,26019.12,31625.03,-5605.91,-17.73,,
7,2025-10-10,Viernes,26246.55,30672.06,-4425.51,-14.43,,
8,2025-10-11,Sábado,28538.49,28567.89,-29.4,-0.1,,🏖️
9,2025-10-12,Domingo,27422.9,24500.6,2922.3,11.93,,🏖️
10,2025-10-13,Lunes,24635.41,25516.07,-880.66,-3.45,🎉,
11,2025-10-14,Martes,26266.38,30615.6,-4349.22,-14.21,,
12,2025-10-15,Miércoles,28634.57,31446.01,-2811.44,-8.94,,
13,2025-10-16,Jueves,30634.49,30897.07,-262.58,-0.85,,
14,2025-10-17,Viernes,31442.4,31251.6,190.8,0.61,,
15,2025-10-18,Sábado,30491.71,29556.88,934.83,3.16,,🏖️
16,2025-10-19,Domingo,29392.43,26304.72,3087.71,11.74,,🏖️
17,2025-10-20,Lunes,28947.81,30982.98,-2035.17,-6.57,,
18,2025-10-21,Martes,30947.69,31540.06,-592.37,-1.88,,
19,2025-10-22,Miércoles,31599.81,31319.92,279.89,0.89,,
20,2025-10-23,Jueves,31471.61,31177.6,294.01,0.94,,
21,2025-10-24,Viernes,31376.09,31152.72,223.37,0.72,,
22,2025-10-25,Sábado,31612.63,29088.26,2524.37,8.68,,🏖️
23,2025-10-26,Domingo,29881.63,26069.21,3812.42,14.62,,🏖️
24,2025-10-27,Lunes,27632.07,30070.07,-2438,-8.11,,
25,2025-10-28,Martes,26086.62,31168.28,-5081.66,-16.3,,
26,2025-10-29,Miércoles,26149.9,31775.34,-5625.44,-17.7,,
27,2025-10-30,Jueves,26217.87,31967.55,-5749.68,-17.99,,
28,2025-10-31,Viernes,26188.7,31071.59,-4882.89,-15.71,,
29,2025-11-01,Sábado,28072.38,29546.09,-1473.71,-4.99,,🏖️
