UCP,VARIABLE,FECHA,Clasificador interno,TIPO DIA,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,TOTAL
Cartagena,Demanda_Real,2019-06-29,NORMAL,Sábado,426.4,413.6,403.0,390.3,382.7,370.8,356.1,366.0,387.7,405.9,415.7,419.4,419.1,421.3,423.2,419.3,408.0,398.9,411.3,425.7,426.9,426.4,430.8,426.6,9775.099999999999
Cartagena,Demanda_Real,2019-06-30,NORMAL,Domingo,414.9,400.7,385.6,380.0,370.4,357.9,338.7,339.0,347.8,350.7,360.5,364.1,363.4,369.0,370.1,357.2,358.2,359.6,377.5,402.4,404.7,409.3,411.6,406.7,9000.0
Cartagena,Demanda_Real,2019-07-01,NORMAL,Lunes,394.6,381.3,373.8,366.0,360.2,351.1,340.0,334.6,339.4,345.0,353.3,358.6,359.8,364.4,370.6,359.7,342.6,337.0,374.7,408.5,414.9,420.4,424.9,412.0,8887.4
