Flujo,Fecha,Cod. RPM,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,,,,,,,,,,,,,,,,,,,,,,,
AS,5/10/2025,NLLOT1P500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.2727,-24.1477,-32.6705,-31.5341,-28.9773,-24.7159,-21.0227,-13.9205,-5.1136,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,2/10/2025,NLLOT2P500,61.3636,58.5227,56.5341,55.1136,50.5682,48.0114,36.9318,5.3977,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3750,34.6591,56.5341,62.5000,65.9091,67.6136,68.1818,66.7614,65.0568,,,,,,,,,,,,,,,,,,,,,,,
AS,2/10/2025,NLLOT2P500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.5455,-25.0000,-31.5341,-30.9659,-27.5568,-22.7273,-14.2045,-7.6705,-0.2841,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,3/10/2025,NLLOT2P500,65.3409,63.3523,61.0795,58.2386,57.3864,55.9659,44.3182,9.3750,0.0000,0.0000,0.0000,0.0000,0.0000,1.4205,9.9432,7.1023,35.2273,55.9659,61.6477,63.3523,64.4886,65.9091,66.4773,65.6250,,,,,,,,,,,,,,,,,,,,,,,
AS,3/10/2025,NLLOT2P500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.9886,-20.4545,-28.6932,-29.5455,-25.5682,-16.1932,-7.9545,-0.8523,-1.1364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,4/10/2025,NLLOT2P500,62.5000,60.2273,57.9545,55.6818,53.6932,51.9886,40.3409,5.3977,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7045,29.2614,57.1023,65.0568,65.0568,62.2159,59.3750,58.8068,59.0909,,,,,,,,,,,,,,,,,,,,,,,
AS,4/10/2025,NLLOT2P500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-3.9773,-27.2727,-35.2273,-31.5341,-26.7045,-21.5909,-11.9318,-13.9205,-3.4091,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,5/10/2025,NLLOT2P500,58.8068,59.6591,57.9545,56.8182,55.9659,54.2614,43.1818,7.6705,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8523,33.5227,52.8409,59.6591,61.9318,62.7841,65.6250,64.7727,61.9318,,,,,,,,,,,,,,,,,,,,,,,
AS,5/10/2025,NLLOT2P500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.2727,-23.8636,-32.6705,-31.5341,-28.6932,-25.0000,-20.7386,-13.9205,-5.3977,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,2/10/2025,NMOG1110,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.2800,31.5000,74.5650,92.3700,89.5800,94.5600,68.6250,84.9150,77.1900,59.3250,40.0650,4.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,2/10/2025,NMOG1110,-0.1800,-0.1650,-0.1800,-0.1800,-0.1650,-0.1800,-0.0150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0150,-0.1950,-0.1800,-0.1650,-0.1800,-0.1800,-0.1800,,,,,,,,,,,,,,,,,,,,,,,
AE,3/10/2025,NMOG1110,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.8900,41.9250,78.4350,73.9800,71.7150,79.3650,81.0000,78.9150,76.1400,79.8600,40.7850,4.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,3/10/2025,NMOG1110,-0.1650,-0.1800,-0.1800,-0.1650,-0.1800,-0.1650,-0.0150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0300,-0.1800,-0.1800,-0.1650,-0.1800,-0.1650,-0.1800,,,,,,,,,,,,,,,,,,,,,,,
AE,4/10/2025,NMOG1110,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6050,37.6350,70.6350,90.6000,97.0200,80.1900,96.0450,84.7200,78.9150,76.6800,29.0250,3.9750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,4/10/2025,NMOG1110,-0.1800,-0.1800,-0.1800,-0.1800,-0.1800,-0.1650,-0.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0150,-0.1800,-0.1950,-0.1650,-0.1800,-0.1650,-0.1650,,,,,,,,,,,,,,,,,,,,,,,
AE,5/10/2025,NMOG1110,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.4250,41.3700,59.2500,83.1150,93.6750,96.1350,93.4500,94.3350,93.8100,77.3250,38.7450,3.9750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,5/10/2025,NMOG1110,-0.1650,-0.1500,-0.1650,-0.1650,-0.1650,-0.1650,-0.0150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1800,-0.1800,-0.1800,-0.1650,-0.1800,-0.1800,,,,,,,,,,,,,,,,,,,,,,,
AE,2/10/2025,NMOT1220,52.4375,49.9375,47.4375,45.6250,44.0625,42.8125,38.1250,28.3125,15.8750,9.1875,12.2500,11.5625,20.0625,17.0625,22.2500,30.1250,35.6250,47.4375,52.8125,53.6875,55.1875,57.0625,59.0625,58.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,2/10/2025,NMOT1220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,3/10/2025,NMOT1220,54.8750,52.4375,50.2500,48.1875,46.4375,45.5625,40.1875,27.3125,15.3125,17.0000,18.8125,18.1875,17.0000,21.0000,25.0000,24.9375,37.5625,49.6250,55.6875,56.2500,56.8750,58.8125,60.4375,59.8750,,,,,,,,,,,,,,,,,,,,,,,
AS,3/10/2025,NMOT1220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,4/10/2025,NMOT1220,57.6250,54.9375,52.6250,50.8750,48.4375,47.2500,41.6875,29.6250,17.8750,11.3750,8.0625,14.6250,10.5625,15.2500,19.9375,22.3750,36.8125,47.1250,55.6875,55.3750,51.7500,48.0625,46.9375,47.2500,,,,,,,,,,,,,,,,,,,,,,,
AS,4/10/2025,NMOT1220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,5/10/2025,NMOT1220,48.3125,49.3750,49.5000,48.3125,46.1875,44.6875,38.6875,23.3125,13.7500,6.3750,1.1250,0.8750,2.7500,4.3750,6.0625,13.8125,27.0625,40.9375,47.6250,49.4375,51.0625,53.1250,54.6250,54.1875,,,,,,,,,,,,,,,,,,,,,,,
AS,5/10/2025,NMOT1220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0625,-0.3125,-0.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,2/10/2025,NMOT2220,52.8750,50.4375,47.8750,46.0000,44.5000,43.1875,38.1875,28.4375,15.4375,9.1875,12.4375,11.6875,20.5000,17.4375,23.0000,30.0625,36.6250,48.1250,53.4375,54.3125,55.8125,57.7500,59.8125,58.5000,,,,,,,,,,,,,,,,,,,,,,,
AS,2/10/2025,NMOT2220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,3/10/2025,NMOT2220,55.4375,52.9375,50.6875,48.6875,46.8750,46.0000,40.3125,27.0625,15.2500,17.3125,19.1250,18.1875,17.3125,21.2500,25.6875,25.1250,38.5000,50.5000,56.4375,56.8750,57.5625,59.5625,61.1250,60.5000,,,,,,,,,,,,,,,,,,,,,,,
AS,3/10/2025,NMOT2220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,4/10/2025,NMOT2220,58.1875,55.4375,53.1875,51.4375,48.8750,47.7500,41.8750,29.3125,17.9375,11.1875,8.1875,14.8125,10.8125,15.2500,20.8125,22.4375,37.9375,47.8750,56.5000,55.9375,52.2500,48.5000,47.5000,47.8125,,,,,,,,,,,,,,,,,,,,,,,
AS,4/10/2025,NMOT2220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,5/10/2025,NMOT2220,48.8750,50.0000,50.0000,48.7500,46.6875,45.1250,38.8125,22.8125,14.0625,5.8125,1.1250,0.8750,2.8125,4.3750,6.4375,14.1250,28.1250,41.6250,48.3125,50.0625,51.6250,53.8750,55.2500,54.7500,,,,,,,,,,,,,,,,,,,,,,,
AS,5/10/2025,NMOT2220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0625,-0.3750,-0.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,2/10/2025,PRC735,22.6523,22.1726,21.3062,20.8265,20.7801,20.4861,16.6179,9.2373,0.5416,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3519,8.8041,19.3256,23.8592,24.9578,24.8030,24.9732,25.2363,24.4162,,,,,,,,,,,,,,,,,,,,,,,
AS,2/10/2025,PRC735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1662,18.3044,28.2225,27.9131,18.0569,28.6403,18.8305,2.4138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,3/10/2025,PRC735,23.5652,22.5904,21.7239,21.1514,20.9812,20.9812,16.8190,2.3828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5376,19.1090,24.8030,25.4684,25.2363,25.8552,25.1899,24.7411,,,,,,,,,,,,,,,,,,,,,,,
AS,3/10/2025,PRC735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9611,12.7961,13.3067,22.2810,23.3795,27.6965,25.7005,24.9732,17.5153,3.8218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,4/10/2025,PRC735,24.5864,23.6735,23.1939,22.2655,21.9715,22.6368,18.9543,2.8315,0.0000,0.0000,0.0155,0.1238,0.0000,0.0000,0.1857,0.0000,4.7811,18.7377,24.4936,25.2827,23.6271,22.1417,21.3062,21.4764,,,,,,,,,,,,,,,,,,,,,,,
AS,4/10/2025,PRC735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5588,13.1674,17.5153,11.2643,15.6895,22.9153,20.3778,13.3995,14.4671,1.2533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,5/10/2025,PRC735,22.1881,22.1262,21.9560,21.8322,21.6620,21.1978,16.5869,1.7949,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3112,16.9738,22.3119,23.3641,23.6116,23.6890,23.7818,23.2403,,,,,,,,,,,,,,,,,,,,,,,
AS,5/10/2025,PRC735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3421,16.0763,29.5377,31.3945,22.4666,27.6346,30.9612,20.6099,11.4345,2.3828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AE,2/10/2025,PRCG1345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5581,3.1152,5.8447,15.6063,17.0269,16.7326,12.3795,18.2344,15.4845,6.3014,2.2831,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,2/10/2025,PRCG1345,0.0406,0.0507,0.0406,0.0406,0.0507,0.0406,0.0101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0203,0.0609,0.0406,0.0507,0.0406,0.0507,0.0406,,,,,,,,,,,,,,,,,,,,,,,
AE,3/10/2025,PRCG1345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7103,8.4424,13.4044,11.7199,14.7336,15.1192,17.6560,16.5195,17.9604,15.1497,7.2755,0.4972,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,3/10/2025,PRCG1345,0.0406,0.0507,0.0406,0.0507,0.0406,0.0406,0.0203,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0203,0.0609,0.0406,0.0406,0.0507,0.0406,0.0507,,,,,,,,,,,,,,,,,,,,,,,
AE,4/10/2025,PRCG1345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6799,7.7524,12.5114,14.8250,13.4652,11.7301,15.9209,14.9975,13.1811,14.1350,6.7884,0.7407,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,4/10/2025,PRCG1345,0.0406,0.0507,0.0406,0.0507,0.0406,0.0406,0.0203,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0203,0.0609,0.0406,0.0507,0.0406,0.0507,0.0406,,,,,,,,,,,,,,,,,,,,,,,
AE,5/10/2025,PRCG1345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9437,5.8143,11.3648,18.5388,17.7473,13.6276,18.0923,17.9198,16.3978,10.3196,6.9812,0.5581,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,5/10/2025,PRCG1345,0.0406,0.0507,0.0406,0.0406,0.0507,0.0406,0.0101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0710,0.0406,0.0406,0.0507,0.0406,0.0507,,,,,,,,,,,,,,,,,,,,,,,
AE,2/10/2025,PRCG2345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3294,1.5930,3.5250,5.6541,8.7186,8.8572,7.1157,8.7978,6.2703,3.6057,1.6233,0.3531,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,2/10/2025,PRCG2345,0.0159,0.0159,0.0156,0.0156,0.0153,0.0156,0.0042,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0030,0.0186,0.0162,0.0162,0.0159,0.0159,0.0159,,,,,,,,,,,,,,,,,,,,,,,
AE,3/10/2025,PRCG2345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4038,3.0306,5.5071,5.9073,8.4294,7.8459,8.0697,8.5887,7.5435,5.3409,3.3258,0.4533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,3/10/2025,PRCG2345,0.0159,0.0159,0.0153,0.0153,0.0156,0.0153,0.0042,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0015,0.0186,0.0162,0.0162,0.0162,0.0162,0.0165,,,,,,,,,,,,,,,,,,,,,,,
AE,4/10/2025,PRCG2345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1983,2.7741,4.2192,5.5497,0.0000,5.1276,6.4290,7.5702,4.6296,5.3559,2.7189,0.4143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,4/10/2025,PRCG2345,0.0162,0.0165,0.0162,0.0159,0.0162,0.0159,0.0042,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0012,0.0192,0.0168,0.0168,0.0162,0.0159,0.0159,,,,,,,,,,,,,,,,,,,,,,,
AE,5/10/2025,PRCG2345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2826,2.4075,5.2152,8.4645,9.0684,7.4709,7.7643,8.8095,6.4557,5.5479,2.1426,0.3261,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,5/10/2025,PRCG2345,0.0156,0.0153,0.0153,0.0153,0.0153,0.0156,0.0045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0177,0.0165,0.0162,0.0159,0.0162,0.0159,,,,,,,,,,,,,,,,,,,,,,,
AE,2/10/2025,PRCT1S138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3585,1.5773,3.9754,5.6183,8.3666,8.6288,5.9944,8.5933,5.3668,3.3862,1.3634,0.2408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,2/10/2025,PRCT1S138,0.0117,0.0121,0.0117,0.0114,0.0121,0.0117,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0031,0.0128,0.0124,0.0124,0.0121,0.0124,0.0121,,,,,,,,,,,,,,,,,,,,,,,
AE,3/10/2025,PRCT1S138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3064,0.0000,0.0000,4.0365,6.9925,7.7059,8.4435,7.8912,6.8745,4.6516,2.7828,0.3191,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,3/10/2025,PRCT1S138,0.0124,0.0124,0.0117,0.0121,0.0117,0.0117,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0021,0.0135,0.0128,0.0128,0.0124,0.0128,0.0128,,,,,,,,,,,,,,,,,,,,,,,
AE,4/10/2025,PRCT1S138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2170,2.2911,4.4605,6.2790,6.5133,8.3235,8.4963,6.6782,2.5268,4.5029,2.1914,0.3291,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,4/10/2025,PRCT1S138,0.0124,0.0128,0.0124,0.0121,0.0124,0.0128,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0017,0.0128,0.0117,0.0121,0.0121,0.0121,0.0117,,,,,,,,,,,,,,,,,,,,,,,
AE,5/10/2025,PRCT1S138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3509,2.3329,4.8041,7.7390,7.3526,5.8391,6.3111,8.5664,5.3465,3.8630,1.7916,0.2632,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,5/10/2025,PRCT1S138,0.0117,0.0114,0.0114,0.0117,0.0117,0.0117,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0128,0.0117,0.0121,0.0124,0.0121,0.0124,,,,,,,,,,,,,,,,,,,,,,,
AE,2/10/2025,SCET1S345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5246,11.0970,16.3314,17.3196,17.5554,17.5473,17.6706,17.4447,16.8507,15.3801,7.4412,0.4743,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,2/10/2025,SCET1S345,-0.0279,-0.0279,-0.0279,-0.0279,-0.0288,-0.0288,-0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0063,-0.0279,-0.0288,-0.0279,-0.0279,-0.0270,-0.0270,,,,,,,,,,,,,,,,,,,,,,,
AE,3/10/2025,SCET1S345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5174,10.8855,16.0344,17.1000,17.3457,17.4033,16.5807,17.5122,16.8777,15.2946,7.3161,0.5877,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,3/10/2025,SCET1S345,-0.0270,-0.0270,-0.0270,-0.0279,-0.0279,-0.0279,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0054,-0.0279,-0.0270,-0.0270,-0.0261,-0.0270,-0.0270,,,,,,,,,,,,,,,,,,,,,,,
AE,4/10/2025,SCET1S345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5741,11.6271,16.5375,17.3214,17.6382,17.7048,17.7858,17.4501,17.0658,15.6438,7.6887,0.5715,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,4/10/2025,SCET1S345,-0.0270,-0.0279,-0.0270,-0.0288,-0.0288,-0.0270,-0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0027,-0.0288,-0.0270,-0.0279,-0.0279,-0.0279,-0.0279,,,,,,,,,,,,,,,,,,,,,,,
AE,5/10/2025,SCET1S345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7794,9.1152,16.6833,17.4024,17.6490,17.7444,17.4303,12.4173,17.2908,14.4603,6.8994,0.6624,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,5/10/2025,SCET1S345,-0.0279,-0.0270,-0.0279,-0.0270,-0.0279,-0.0288,-0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0018,-0.0288,-0.0279,-0.0270,-0.0270,-0.0270,-0.0270,,,,,,,,,,,,,,,,,,,,,,,
AE,2/10/2025,SEOG1138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0730,0.0390,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1363,0.4861,0.0505,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,2/10/2025,SEOG1138,-0.0048,-0.0048,-0.0050,-0.0050,-0.0053,-0.0050,-0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0003,0.0000,-0.0021,-0.0045,-0.0043,-0.0040,-0.0040,-0.0038,-0.0038,,,,,,,,,,,,,,,,,,,,,,,
AE,3/10/2025,SEOG1138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0861,0.5849,1.3860,1.5675,1.5868,1.6143,1.6308,1.4585,1.3150,0.5054,0.2650,0.0604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,3/10/2025,SEOG1138,-0.0040,-0.0040,-0.0040,-0.0041,-0.0041,-0.0045,-0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0016,-0.0047,-0.0041,-0.0040,-0.0040,-0.0038,-0.0040,,,,,,,,,,,,,,,,,,,,,,,
AE,4/10/2025,SEOG1138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0787,0.5568,1.4042,1.5779,1.6011,1.6227,0.8220,0.7048,0.4392,0.4637,0.3588,0.0521,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,4/10/2025,SEOG1138,-0.0038,-0.0041,-0.0041,-0.0041,-0.0043,-0.0045,-0.0017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0017,-0.0052,-0.0047,-0.0047,-0.0047,-0.0047,-0.0047,,,,,,,,,,,,,,,,,,,,,,,
AE,5/10/2025,SEOG1138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0688,0.5779,1.4216,1.5382,1.6020,1.6206,1.4474,0.6938,0.3029,0.1378,0.3880,0.0597,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,5/10/2025,SEOG1138,-0.0045,-0.0045,-0.0043,-0.0045,-0.0047,-0.0045,-0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0009,-0.0053,-0.0048,-0.0045,-0.0047,-0.0043,-0.0043,,,,,,,,,,,,,,,,,,,,,,,
AE,2/10/2025,SLCG1345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2872,2.5581,5.0180,7.3513,5.5300,4.8197,6.5994,5.1503,6.8733,5.9854,2.3352,0.4138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,2/10/2025,SLCG1345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0019,-0.0132,0.0000,0.0000,0.0000,0.0000,-0.0019,,,,,,,,,,,,,,,,,,,,,,,
AE,3/10/2025,SLCG1345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2645,2.4863,5.6207,6.9791,5.2240,5.2145,7.3948,5.8153,5.4998,4.8574,2.6356,0.3627,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
AS,3/10/2025,SLCG1345,0.0000,0.0000,-0.0019,0.0000,0.0000,0.0000,-0.0019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0038,-0.0151,0.0000,0.0000,0.0000,0.0000,-0.0019,,,,,,,,,,,,,,,,,,,,,,,
